Symbol	RAPdb	MSU	Name
BGAL15	Os06g0628500	LOC_Os06g42310	BGAL
BGAL3	Os01g0580200	LOC_Os01g39830	BGAL
BGAL4	Os01g0875500	LOC_Os01g65460	BGAL
BGAL5	Os01g0533400	LOC_Os01g34920	BGAL
BGAL6	Os05g0428100	LOC_Os05g35360	BGAL
BGAL7	Os02g0219200	LOC_Os02g12730	BGAL
BGAL8	Os03g0255100	LOC_Os03g15020	BGAL
BGAL9	Os05g0539400	LOC_Os05g46200	BGAL
BGLU10	Os04g0474500	LOC_Os04g39840	BGLU
BGLU11	Os04g0474700	LOC_Os04g39864	BGLU
BGLU14	Os04g0513100	LOC_Os04g43360	BGLU
BGLU16	Os04g0513400	LOC_Os04g43390	BGLU
BGLU17	Os04g0513700	LOC_Os04g43400	BGLU
BGLU18	Os04g0513900	LOC_Os04g43410	BGLU
BGLU19	Os05g0365600	LOC_Os05g30250	BGLU
BGLU2	Os01g0813700	LOC_Os01g59819	BGLU
BGLU20	Os05g0365700	LOC_Os05g30280	BGLU
BGLU21	Os05g0366000	LOC_Os05g30300	BGLU
BGLU22	Os05g0366600	LOC_Os05g30350	BGLU
BGLU23	Os05g0366800	LOC_Os05g30390	BGLU
BGLU24	Os06g0320200	LOC_Os06g21570	BGLU
BGLU25	Os06g0683300	LOC_Os06g46940	BGLU
BGLU26	Os07g0656200	LOC_Os07g46280	BGLU
BGLU27	Os08g0509200	LOC_Os08g39860	BGLU
BGLU28	Os08g0509400	LOC_Os08g39870	BGLU
BGLU29	Os09g0490400	LOC_Os09g31410	BGLU
BGLU3	Os01g0813800	LOC_Os01g59840	BGLU
BGLU30	Os09g0491100	LOC_Os09g31430	BGLU
BGLU32	Os09g0511700	LOC_Os09g33690	BGLU
BGLU33	Os09g0511900	LOC_Os09g33710	BGLU
BGLU34	Os10g0323500	LOC_Os10g17650	BGLU
BGLU35	Os11g0184300	LOC_Os11g08120	BGLU
BGLU36	Os11g0683500	LOC_Os11g45710	BGLU
BGLU38	Os12g0420100	LOC_Os12g23170	BGLU
BGLU4	Os01g0897600	LOC_Os01g67220	BGLU
BGLU5	Os01g0930800	LOC_Os01g70520	BGLU
BGLU9	Os04g0474300	LOC_Os04g39814	BGLU
C00481	Os11g0701200	LOC_Os11g47530	C00481
C10122	Os08g0518900	LOC_Os08g40690	ClassIII-Chitinase-Homologues
C10150	Os11g0701400	LOC_Os11g47550	ClassIII-Chitinase-Homologues
C10501	Os01g0860500	LOC_Os01g64110	ClassIII-Chitinase-Homologues
C10728	Os01g0660200	LOC_Os01g47070	ClassIII-Chitinase-Homologues
C10923	Os11g0700900	LOC_Os11g47500	ClassIII-Chitinase-Homologues
C3H1	Os01g0174600	LOC_Os01g07930	C3H
C3H10	Os01g0738400	LOC_Os01g53650	C3H
C3H11	Os01g0834700	LOC_Os01g61830	C3H
C3H13	Os02g0161200	LOC_Os02g06584	C3H
C3H14	Os02g0194200	LOC_Os02g10080	C3H
C3H15	Os02g0301000	LOC_Os02g19804	C3H
C3H16	Os02g0557500	LOC_Os02g35150	C3H
C3H17	Os02g0677700	LOC_Os02g45480	C3H
C3H18	Os02g0793000	LOC_Os02g55000	C3H
C3H19	Os02g0831100	LOC_Os02g58440	C3H
C3H21	Os03g0301500	LOC_Os03g18950	C3H
C3H22	Os03g0328900	LOC_Os03g21140	C3H
C3H23	Os03g0329200	LOC_Os03g21160	C3H
C3H24	Os03g0698800	LOC_Os03g49170	C3H
C3H25	Os03g0826400	LOC_Os03g61110	C3H
C3H26	Os04g0117600	LOC_Os04g02730	C3H
C3H27	Os04g0394300	LOC_Os04g32340	C3H
C3H28	Os04g0438700	LOC_Os04g35800	C3H
C3H29	Os04g0487550	LOC_Os04g41060	C3H
C3H3	Os01g0252200	LOC_Os01g14870	C3H
C3H30	Os04g0663200	LOC_Os04g56750	C3H
C3H31	Os04g0665700	LOC_Os04g57010	C3H
C3H32	Os04g0671800	LOC_Os04g57600	C3H
C3H33	Os05g0128200	LOC_Os05g03760	C3H
C3H34	Os05g0176400	LOC_Os05g08400	C3H
C3H36	Os05g0497500	LOC_Os05g41790	C3H
C3H37	Os05g0525900	LOC_Os05g45020	C3H
C3H38	Os05g0564200	LOC_Os05g48960	C3H
C3H39	Os05g0576300	LOC_Os05g50080	C3H
C3H4	Os01g0256800	LOC_Os01g15300	C3H
C3H40	Os06g0170500	LOC_Os06g07350	C3H
C3H42	Os06g0519400	LOC_Os06g32720	C3H
C3H43	Os06g0520600	LOC_Os06g32860	C3H
C3H44	Os06g0618150	LOC_Os06g41390	C3H
C3H45	Os06g0677700	LOC_Os06g46400	C3H
C3H47	Os07g0138400	LOC_Os07g04580	C3H
C3H48	Os07g0139000	LOC_Os07g04650	C3H
C3H49	Os07g0281000	LOC_Os07g18050	C3H
C3H5	Os01g0257400	LOC_Os01g15350	C3H
C3H50	Os07g0568300	LOC_Os07g38090	C3H
C3H51	Os07g0583300	LOC_Os07g39440	C3H
C3H53	Os07g0682400	LOC_Os07g48410	C3H
C3H54	Os08g0126700	LOC_Os08g03310	C3H
C3H55	Os08g0135800	LOC_Os08g04170	C3H
C3H56	Os08g0159800	LOC_Os08g06330	C3H
C3H57	Os08g0491700	LOC_Os08g38370	C3H
C3H58	Os09g0305900	LOC_Os09g13530	C3H
C3H59	Os09g0364000	LOC_Os09g19940	C3H
C3H6	Os01g0258700	LOC_Os01g15460	C3H
C3H60	Os09g0491756	LOC_Os09g31482	C3H
C3H62	Os10g0391300	LOC_Os10g25220	C3H
C3H63	Os11g0472000	LOC_Os11g28270	C3H
C3H65	Os12g0278800	LOC_Os12g18120	C3H
C3H66	Os12g0405100	LOC_Os12g21700	C3H
C3H67	Os12g0515500	LOC_Os12g33090	C3H
C3H7	Os01g0572100	LOC_Os01g39100	C3H
C3H8	Os01g0616400	LOC_Os01g42970	C3H
C3H9	Os01g0645000	LOC_Os01g45730	C3H
CAD1	Os10g0194200	LOC_Os10g11810	CAD
CAD3	Os10g0430200	LOC_Os10g29470	CAD
CAD4	Os11g0622800	LOC_Os11g40690	CAD
CAD5	Os08g0270400	LOC_Os08g16910	CAD
CAD6	Os04g0229100	LOC_Os04g15920	CAD
CAD8A	Os09g0399800	LOC_Os09g23530	CAD
CAD8B	Os09g0400000	LOC_Os09g23540	CAD
CAD8C	Os09g0400300	LOC_Os09g23550	CAD
CAD9	Os03g0223200	LOC_Os03g12270	CAD
CAX1B	Os05g0594200	LOC_Os05g51610	CAX
CAX1C	Os02g0314300|Os02g0314400	LOC_Os02g21009	CAX
CAX2	Os03g0397400	LOC_Os03g27960	CAX
CAX3	Os04g0653200	LOC_Os04g55940	CAX
CBL1	Os10g0564800	LOC_Os10g41510	CBL
CBL10	Os01g0711500	LOC_Os01g51420	CBL
CBL3	Os03g0626800	LOC_Os03g42840	CBL
CBL4	Os05g0534400	LOC_Os05g45810	CBL
CBL5	Os01g0598200	LOC_Os01g41510	CBL
CBL6	Os12g0162400	LOC_Os12g06510	CBL
CBL7	Os02g0291000	LOC_Os02g18880	CBL
CBL9	Os01g0579600	LOC_Os01g39770	CBL
CBSCLC2	Os01g0704700	LOC_Os01g50860	CBSCLC
CBSCLC4	Os03g0695700	LOC_Os03g48940	CBSCLC
CBSCLC5	Os04g0644800	LOC_Os04g55210	CBSCLC
CBSCLC6	Os08g0300300	LOC_Os08g20570	CBSCLC
CBSCLC7	Os12g0438600	LOC_Os12g25200	CBSCLC
CBSCLC8	Os08g0499200	LOC_Os08g38980	CBSCLC
CBSCLC9	Os02g0720700	LOC_Os02g48880	CBSCLC
CDC45-1	Os12g0124700	LOC_Os12g03130	CDC
CDC45-2	Os11g0128400	LOC_Os11g03430	CDC
CDC6	Os01g0856000	LOC_Os01g63710	CDC
CDPK1	Os01g0622600	LOC_Os01g43410	CDPK
CDPK15	Os05g0585500	LOC_Os05g50810	CDPK
CDPK16	Os05g0467000	LOC_Os05g39090	CDPK
CDPK17	Os07g0161600	LOC_Os07g06740	CDPK
CDPK18	Os07g0409900	LOC_Os07g22710	CDPK
CDPK2	Os01g0808400	LOC_Os01g59360	CDPK
CDPK20	Os07g0568600	LOC_Os07g38120	CDPK
CDPK22	Os09g0514200	LOC_Os09g33910	CDPK
CDPK4	Os02g0126400	LOC_Os02g03410	CDPK
CDPK6	Os02g0832000	LOC_Os02g58520	CDPK
CDPK8	Os03g0808600	LOC_Os03g59390	CDPK
CDPK9	Os03g0688300	LOC_Os03g48270	CDPK
CDT3	Os01g0178300	LOC_Os01g08300	CDT
CDT4	Os02g0208500	LOC_Os02g11770	CDT
CDT5	Os05g0178300	LOC_Os05g08554	CDT
Cen8.t00793	Os08g0308700	LOC_Os08g21700	Cen8
Cen8.t00808	Os08g0309300	LOC_Os08g21760	Cen8
Cen8.t00833	Os08g0310100	LOC_Os08g21840	Cen8
Cen8.t00960	Os08g0313600	LOC_Os08g22200	Cen8
Cen8.t01003	Os08g0314800	LOC_Os08g22354	Cen8
Cen8.t01152	Os08g0318400	LOC_Os08g22852	Cen8
Cen8.t01153	Os08g0318500	LOC_Os08g22864	Cen8
CESA1	Os05g0176100	LOC_Os05g08370	CESA
CESA10	Os12g0477200	LOC_Os12g29300	CESA
CESA11	Os06g0600550	None	CESA
CESA2	Os03g0808100	LOC_Os03g59340	CESA
CESA3	Os07g0424400	LOC_Os07g24190	CESA
CESA5	Os03g0837100	LOC_Os03g62090	CESA
CESA6	Os07g0252400	LOC_Os07g14850	CESA
CESA8	Os07g0208500	LOC_Os07g10770	CESA
CHARK	Os12g0454800	LOC_Os12g26940	cytokinin-signalling_gene_family
CHR701	Os02g0161400	LOC_Os02g06592	Snf2_family
CHR702	Os06g0183800	LOC_Os06g08480	Snf2_family
CHR702	Os06g0183800	LOC_Os06g08480	CHR
CHR703	Os01g0881000	LOC_Os01g65850	CHR
CHR703	Os01g0881000	LOC_Os01g65850	Snf2_family
CHR704	Os01g0102800	LOC_Os01g01312	Snf2_family
CHR705	Os07g0660200	LOC_Os07g46590	Snf2_family
CHR705	Os07g0660200	LOC_Os07g46590	CHR
CHR706	Os01g0779400	LOC_Os01g57110	Snf2_family
CHR707	Os02g0114000|Os02g0114033	LOC_Os02g02290	Snf2_family
CHR708	Os01g0952200	LOC_Os01g72310	Snf2_family
CHR709	Os02g0689800	LOC_Os02g46450	Snf2_family
CHR710	Os02g0527100	LOC_Os02g32570	Snf2_family
CHR711	Os03g0101700	LOC_Os03g01200	Snf2_family
CHR712	Os04g0692700	LOC_Os04g59620	Snf2_family
CHR713	Os05g0247900	LOC_Os05g15890	Snf2_family
CHR714	Os04g0566100	LOC_Os04g47830	Snf2_family
CHR715	Os04g0629300	LOC_Os04g53720	Snf2_family
CHR717	Os10g0457700	LOC_Os10g31970	Snf2_family
CHR719	Os05g0144300	LOC_Os05g05230	Snf2_family
CHR720	Os06g0255200	LOC_Os06g14406	Snf2_family
CHR721	Os07g0636200	LOC_Os07g44210	Snf2_family
CHR722	Os07g0692401|Os07g0692500|Os07g0692600	LOC_Os07g49210	Snf2_family
CHR724	Os07g0642400	LOC_Os07g44800	Snf2_family
CHR725	Os08g0180300	LOC_Os08g08220	Snf2_family
CHR726	Os07g0598300	LOC_Os07g40730	Snf2_family
CHR727	Os05g0150300	LOC_Os05g05780	Snf2_family
CHR728	Os01g0367900	LOC_Os01g27040	Snf2_family
CHR729	Os07g0497000|Os07g0497100	LOC_Os07g31450	Snf2_family
CHR730	Os03g0165200|Os03g0165266	LOC_Os03g06920	Snf2_family
CHR731	Os07g0511500	LOC_Os07g32730	Snf2_family
CHR732	Os03g0352450|Os03g0352500	LOC_Os03g22900	Snf2_family
CHR733	Os02g0762800	LOC_Os02g52510	Snf2_family
CHR735	Os04g0177300	LOC_Os04g09800	Snf2_family
CHR736	Os07g0434500	LOC_Os07g25390	Snf2_family
CHR737	Os06g0255700	LOC_Os06g14440	Snf2_family
CHR739	Os07g0680500	LOC_Os07g48270	Snf2_family
CHR740	Os02g0650800	LOC_Os02g43460	Snf2_family
CHR741	Os03g0722400	LOC_Os03g51230	Snf2_family
CHR742	Os05g0392400	LOC_Os05g32610	Snf2_family
CHR743	Os08g0243833|Os08g0243866	LOC_Os08g14610	Snf2_family
CHR744	Os02g0110700	LOC_Os02g02050	CHR
CHR745	Os01g0636700	LOC_Os01g44990	Snf2_family
CHR746	Os09g0442700	LOC_Os09g27060	Snf2_family
CHT10	Os01g0287600	LOC_Os01g18400	CHT
CHT4	Os04g0493400	LOC_Os04g41620	CHT
CHT6	Os02g0605900	LOC_Os02g39330	CHT
CHT8	Os10g0542900	LOC_Os10g39680	CHT
CHT9	Os05g0399400	LOC_Os05g33140	CHT
CIPK01	Os01g0292200	LOC_Os01g18800	CIPK
CIPK02	Os07g0678600	LOC_Os07g48100	CIPK
CIPK04	Os12g0603700	LOC_Os12g41090	CIPK
CIPK05	Os01g0206700	LOC_Os01g10890	CIPK
CIPK06	Os08g0441100	LOC_Os08g34240	CIPK
CIPK07	Os03g0634400	LOC_Os03g43440	CIPK
CIPK08	Os01g0536000	LOC_Os01g35184	CIPK
CIPK09	Os03g0126800	LOC_Os03g03510	CIPK
CIPK10	Os03g0339900	LOC_Os03g22050	CIPK
CIPK11	Os01g0824600	LOC_Os01g60910	CIPK
CIPK13	Os01g0206300	LOC_Os01g10870	CIPK
CIPK16	Os09g0418000	LOC_Os09g25090	CIPK
CIPK17	Os05g0136200	LOC_Os05g04550	CIPK
CIPK18	Os05g0332300	LOC_Os05g26820	CIPK
CIPK20	Os05g0208100	LOC_Os05g11790	CIPK
CIPK21	Os07g0637000	LOC_Os07g44290	CIPK
CIPK22	Os05g0333000	LOC_Os05g26870	CIPK
CIPK24	Os06g0606000	LOC_Os06g40370	CIPK
CIPK25	Os06g0543400	LOC_Os06g35160	CIPK
CIPK26	Os02g0161000	LOC_Os02g06570	CIPK
CIPK27	Os09g0418500	LOC_Os09g25100	CIPK
CIPK27	Os09g0418500	LOC_Os09g25110	CIPK
CIPK28	Os05g0476350	LOC_Os05g39870	CIPK
CIPK29	Os07g0678300	LOC_Os07g48090	CIPK
CIPK30	Os01g0759200	LOC_Os01g55440	CIPK
CKX11	Os08g0460600	LOC_Os08g35860	CKX
CKX3	Os10g0483500	LOC_Os10g34230	CKX
CKX4	Os01g0940000	LOC_Os01g71310	CKX
CKX5	Os01g0775400	LOC_Os01g56810	CKX
CLPB-C	Os03g0426900	LOC_Os03g31300	CLP
CLPB-M	Os02g0181900	LOC_Os02g08490	CLP
CLPC1	Os04g0397100	LOC_Os04g32560	CLP
ClpC2	Os12g0226900	LOC_Os12g12580	CLP
CLPC3	Os11g0267400	LOC_Os11g16590	CLP
CLPC4	Os11g0269000	LOC_Os11g16770	CLP
CLPD1	Os02g0526400	LOC_Os02g32520	CLP
CLPD2	Os04g0405000	LOC_Os04g33210	CLP
CML10	Os01g0949500	LOC_Os01g72100	CML
CML11	Os01g0505600	LOC_Os01g32120	CML
CML12	Os01g0604500	LOC_Os01g41990	CML
CML13	None	LOC_Os07g42660	CML
CML14	Os05g0577500	LOC_Os05g50180	CML
CML15	Os05g0380900	LOC_Os05g31620	CML
CML16	Os01g0135700	LOC_Os01g04330	CML
CML17	None	LOC_Os02g39380	CML
CML18	Os05g0223000	LOC_Os05g13580	CML
CML19	Os01g0955500	LOC_Os01g72550	CML
CML2	Os11g0134400	LOC_Os11g03980	CML
CML20	Os02g0733500	LOC_Os02g50060	CML
CML21	Os05g0312600	LOC_Os05g24780	CML
CML22	Os04g0492800	LOC_Os04g41540	CML
CML23	Os01g0955400	LOC_Os01g72540	CML
CML24	Os07g0681400	LOC_Os07g48340	CML
CML25	Os11g0105000	LOC_Os11g01390	CML
CML26	Os12g0104900	LOC_Os12g01400	CML
CML27	Os03g0331700	LOC_Os03g21380	CML
CML28	Os12g0228800	LOC_Os12g12730	CML
CML29	Os06g0691600	LOC_Os06g47640	CML
CML3	Os12g0132300	LOC_Os12g03816	CML
CML30	Os06g0172200	LOC_Os06g07560	CML
CML32	Os08g0144100	LOC_Os08g04890	CML
CML4	Os03g0743500	LOC_Os03g53200	CML
CML6	Os11g0586200	LOC_Os11g37550	CML
CML7	Os08g0117400	LOC_Os08g02420	CML
CML8	Os10g0389000	LOC_Os10g25010	CML
CML9	Os05g0491000	LOC_Os05g41200	CML
CMT2	Os05g0224900	LOC_Os05g13790|LOC_Os05g13780	CMT
CMT3	Os10g0104900	LOC_Os10g01570	CMT
COMTL1	Os12g0199500	LOC_Os12g09770	COMTL
COMTL2	Os04g0104900	LOC_Os04g01470	COMTL
COMTL4	Os02g0823400	LOC_Os02g57760	COMTL
COMTL5	Os04g0175600	LOC_Os04g09604	COMTL
COMTL6	Os04g0175900	LOC_Os04g09654	COMTL
COPT2	Os01g0770800	LOC_Os01g56430	COPT
COPT3	Os03g0370800	LOC_Os03g25470	COPT
COPT4	Os04g0415600	LOC_Os04g33900	COPT
COPT6	Os08g0455900	LOC_Os08g35490	COPT
COPT7	Os09g0440700	LOC_Os09g26900	COPT
CRL1L1	Os03g0149000	LOC_Os03g05500	CRL
CRL1L2	Os10g0162600	LOC_Os10g07510	CRL
CRL1L3	Os01g0889400	LOC_Os01g66590	CRL
CRL1L4	Os01g0169400	LOC_Os01g07480	CRL
CSLA1	Os02g0192500	LOC_Os02g09930	CSLA
CSLA2	Os10g0406400	LOC_Os10g26630	CSLA
CSLA3	Os06g0230100	LOC_Os06g12460	CSLA
CSLA4	Os03g0169500	LOC_Os03g07350	CSLA
CSLA5	Os03g0377700	LOC_Os03g26044	CSLA
CSLA7	Os07g0630900	LOC_Os07g43710	CSLA
CSLA9	Os06g0625700	LOC_Os06g42020	CSLA
CSLC1	Os01g0766900	LOC_Os01g56130	CSLC
CSLC2	Os09g0428000	LOC_Os09g25900	CSLC
